,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Age_Group,Credit_Amount_Group,Duration_Group
0,67,male,2,own,little,little,1169,6,radio/TV,>65,Low,<1yr
1,22,female,2,own,little,moderate,5951,48,radio/TV,<25,High,3-4yrs
2,49,male,1,own,little,little,2096,12,education,45-55,Medium,<1yr
3,45,male,2,free,little,little,7882,42,furniture/equipment,35-45,High,3-4yrs
4,53,male,2,free,little,little,4870,24,car,45-55,Medium,1-2yrs
5,35,male,1,free,little,little,9055,36,education,25-35,High,2-3yrs
6,53,male,2,own,quite rich,little,2835,24,furniture/equipment,45-55,Medium,1-2yrs
7,35,male,3,rent,little,moderate,6948,36,car,25-35,High,2-3yrs
8,61,male,1,own,rich,little,3059,12,radio/TV,55-65,Medium,<1yr
9,28,male,3,own,little,moderate,5234,30,car,25-35,High,2-3yrs
10,25,female,2,rent,little,moderate,1295,12,car,<25,Low,<1yr
11,24,female,2,rent,little,little,4308,48,business,<25,Medium,3-4yrs
12,22,female,2,own,little,moderate,1567,12,radio/TV,<25,Low,<1yr
13,60,male,1,own,little,little,1199,24,car,55-65,Low,1-2yrs
14,28,female,2,rent,little,little,1403,15,car,25-35,Low,1-2yrs
15,32,female,1,own,moderate,little,1282,24,radio/TV,25-35,Low,1-2yrs
16,53,male,2,own,little,little,2424,24,radio/TV,45-55,Medium,1-2yrs
17,25,male,2,own,little,little,8072,30,business,<25,High,2-3yrs
18,44,female,3,free,little,moderate,12579,24,car,35-45,Very High,1-2yrs
19,31,male,2,own,quite rich,little,3430,24,radio/TV,25-35,Medium,1-2yrs
20,48,male,2,own,little,little,2134,9,car,45-55,Medium,<1yr
21,44,male,2,rent,quite rich,little,2647,6,radio/TV,35-45,Medium,<1yr
22,48,male,1,rent,little,little,2241,10,car,45-55,Medium,<1yr
23,44,male,2,own,moderate,moderate,1804,12,car,35-45,Low,<1yr
24,26,male,2,own,little,little,2069,10,furniture/equipment,25-35,Medium,<1yr
25,36,male,1,own,little,little,1374,6,furniture/equipment,35-45,Low,<1yr
26,39,male,1,own,little,little,426,6,radio/TV,35-45,Very Low,<1yr
27,42,female,2,rent,rich,rich,409,12,radio/TV,35-45,Very Low,<1yr
28,34,male,2,own,little,moderate,2415,7,radio/TV,25-35,Medium,<1yr
29,63,male,2,own,little,little,6836,60,business,55-65,High,>4yrs
30,36,male,2,own,rich,moderate,1913,18,business,35-45,Low,1-2yrs
31,27,male,2,own,little,little,4020,24,furniture/equipment,25-35,Medium,1-2yrs
