,Risk
0,0
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,0
9,1
10,0
11,1
12,0
13,0
14,0
15,0
16,0
17,1
18,1
19,0
20,1
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,1
30,0
31,1
32,1
33,0
34,0
35,1
36,1
37,0
38,0
39,0
40,1
41,0
42,1
43,1
44,1
45,0
46,1
47,0
48,1
49,0
50,1
51,1
52,0
53,1
54,1
55,0
56,1
57,1
58,0
59,1
60,0
61,0
62,0
63,1
64,1
65,1
66,0
67,0
68,1
69,0
70,1
71,1
72,0
73,1
74,0
75,1
76,1
77,1
78,1
79,0
80,1
81,0
82,1
83,0
84,0
85,0
86,1
87,1
88,0
89,0
90,0
91,1
92,0
93,1
94,0
95,1
96,0
97,1
98,1
99,1
100,0
101,1
102,0
103,0
104,0
105,1
106,1
107,1
108,1
109,0
110,0
111,0
112,1
113,1
114,0
115,1
116,1
117,0
118,1
119,1
120,1
121,0
122,1
123,0
124,1
125,1
126,0
127,0
128,0
129,0
130,1
131,1
132,0
133,1
134,1
135,1
136,1
137,0
138,1
139,0
140,0
141,1
142,0
143,0
144,1
145,1
146,0
147,0
148,1
149,0
150,0
151,0
152,1
153,1
154,1
155,0
156,1
157,0
158,0
159,0
160,0
161,1
162,1
163,1
164,1
165,0
166,1
167,1
168,1
169,0
170,0
171,0
172,0
173,0
174,1
175,1
176,0
177,0
178,0
179,1
180,1
181,1
182,0
183,1
184,0
185,0
186,1
187,0
188,0
189,0
190,1
191,1
192,1
193,0
194,1
195,0
196,0
197,0
198,1
199,0
200,0
201,0
202,1
203,1
204,0
205,1
206,0
207,0
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,0
216,0
217,1
218,0
219,0
220,1
221,0
222,0
223,0
224,1
225,1
226,1
227,1
228,0
229,1
230,1
231,0
232,0
233,0
234,1
235,1
236,1
237,1
238,0
239,1
240,0
241,0
242,1
243,0
244,0
245,0
246,0
247,0
248,1
249,0
250,0
251,1
252,1
253,1
254,0
255,1
256,1
257,0
258,1
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,1
267,0
268,1
269,0
270,1
271,0
272,1
273,1
274,1
275,0
276,0
277,0
278,1
279,0
280,1
281,0
282,1
283,0
284,1
285,1
286,1
287,1
288,0
289,0
290,0
291,1
292,1
293,1
294,1
295,1
296,1
297,0
298,1
299,1
300,0
301,1
302,1
303,0
304,1
305,0
306,1
307,0
308,0
309,0
310,1
311,1
312,1
313,0
314,1
315,1
316,0
317,1
318,0
319,1
320,1
321,1
322,0
323,1
324,0
325,0
326,1
327,1
328,1
329,0
330,1
331,0
332,1
333,1
334,1
335,0
336,0
337,0
338,1
339,0
340,1
341,1
342,1
343,1
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,1
352,1
353,1
354,0
355,0
356,0
357,1
358,0
359,0
360,0
361,1
362,0
363,0
364,1
365,0
366,1
367,1
368,1
369,0
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,0
378,1
379,0
380,0
381,1
382,0
383,0
384,1
385,0
386,0
387,1
388,1
389,0
390,0
391,0
392,0
393,1
394,1
395,1
396,0
397,1
398,0
399,1
400,0
401,0
402,1
403,0
404,0
405,1
406,0
407,0
408,1
409,0
410,1
411,1
412,0
413,1
414,0
415,1
416,1
417,1
418,1
419,0
420,1
421,1
422,0
423,1
424,1
425,1
426,0
427,0
428,1
429,0
430,0
431,1
432,0
433,1
434,1
435,0
436,1
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,1
445,0
446,1
447,0
448,0
449,0
450,1
451,0
452,0
453,1
454,1
455,0
456,0
457,0
458,0
459,0
460,1
461,0
462,0
463,0
464,0
465,1
466,1
467,1
468,1
469,1
470,1
471,0
472,0
473,1
474,1
475,0
476,1
477,1
478,1
479,1
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,1
489,1
490,0
491,1
492,0
493,0
494,1
495,1
496,1
497,0
498,0
499,0
500,1
501,1
502,0
503,1
504,0
505,0
506,0
507,1
508,0
509,1
510,0
511,1
512,0
513,0
514,0
515,0
516,0
517,1
518,0
519,0
520,0
521,1
522,1
523,1
524,0
525,1
526,0
527,0
528,1
529,0
530,1
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,1
539,0
540,1
541,0
542,1
543,1
544,0
545,0
546,1
547,0
548,0
549,1
550,0
551,0
552,1
553,0
554,0
555,0
556,0
557,1
558,1
559,0
560,1
561,1
562,0
563,1
564,1
565,0
566,0
567,0
568,0
569,1
570,1
571,1
572,1
573,0
574,0
575,0
576,0
577,1
578,0
579,1
580,0
581,0
582,0
583,1
584,0
585,0
586,0
587,0
588,1
589,0
590,0
591,0
592,1
593,1
594,1
595,0
596,0
597,0
598,0
599,1
600,1
601,0
602,1
603,1
604,0
605,1
606,1
607,0
608,0
609,1
610,0
611,0
612,1
613,0
614,1
615,1
616,1
617,1
618,1
619,0
620,0
621,0
622,1
623,1
624,1
625,0
626,0
627,0
628,1
629,1
630,0
631,1
632,0
633,0
634,0
635,0
636,1
637,1
638,0
639,1
640,0
641,1
642,1
643,0
644,0
645,1
646,0
647,0
648,0
649,0
650,1
651,1
652,0
653,1
654,1
655,1
656,0
657,1
658,1
659,1
660,0
661,0
662,0
663,0
664,0
665,1
666,1
667,1
668,0
669,1
670,1
671,0
672,1
673,0
674,0
675,1
676,1
677,1
678,1
679,1
680,0
681,0
682,0
683,1
684,1
685,1
686,0
687,1
688,1
689,1
690,0
691,1
692,0
693,1
694,1
695,0
696,0
697,0
698,1
699,0
700,0
701,1
702,0
703,0
704,0
705,1
706,1
707,1
708,0
709,1
710,0
711,0
712,0
713,0
714,1
715,1
716,1
717,0
718,0
719,1
720,0
721,0
722,0
723,0
724,1
725,0
726,0
727,0
728,1
729,0
730,1
731,0
732,0
733,0
734,1
735,1
736,1
737,1
738,1
739,1
740,0
741,0
742,0
743,1
744,1
745,0
746,0
747,0
748,1
749,0
750,0
751,0
752,0
753,1
754,0
755,1
756,0
757,0
758,0
759,0
760,1
761,0
762,1
763,1
764,1
765,0
766,1
767,1
768,0
769,1
770,1
771,1
772,1
773,1
774,0
775,0
776,1
777,0
778,1
779,1
780,1
781,0
782,0
783,0
784,1
785,1
786,1
787,1
788,1
789,1
790,0
791,1
792,0
793,0
794,0
795,1
796,1
797,0
798,0
799,0
800,1
801,0
802,1
803,0
804,1
805,1
806,0
807,0
808,1
809,0
810,0
811,0
812,1
813,1
814,1
815,1
816,0
817,0
818,1
819,1
820,0
821,1
822,1
823,0
824,0
825,1
826,1
827,0
828,1
829,1
830,0
831,0
832,1
833,1
834,0
835,0
836,1
837,0
838,1
839,0
840,1
841,1
842,0
843,1
844,1
845,1
846,1
847,1
848,0
849,0
850,0
851,1
852,0
853,1
854,1
855,0
856,0
857,1
858,0
859,1
860,1
861,0
862,1
863,1
864,0
865,0
866,1
867,1
868,1
869,1
870,1
871,0
872,0
873,0
874,0
875,1
876,0
877,1
878,0
879,1
880,1
881,1
882,0
883,1
884,1
885,1
886,1
887,1
888,1
889,1
890,1
891,0
892,1
893,1
894,1
895,1
896,0
897,0
898,1
899,0
900,1
901,0
902,1
903,1
904,0
905,0
906,0
907,1
908,1
909,1
910,1
911,1
912,1
913,1
914,1
915,1
916,1
917,1
918,0
919,1
920,1
921,1
922,0
923,0
924,1
925,0
926,0
927,1
928,1
929,0
930,0
931,1
932,0
933,0
934,0
935,0
936,0
937,0
938,1
939,1
940,0
941,0
942,1
943,0
944,1
945,1
946,0
947,0
948,0
949,1
950,1
951,1
952,0
953,1
954,0
955,1
956,1
957,0
958,1
959,1
960,0
961,1
962,1
963,1
964,0
965,1
966,0
967,1
968,1
969,0
970,0
971,1
972,1
973,1
974,1
975,0
976,0
977,0
978,0
979,0
980,1
981,1
982,0
983,1
984,0
985,0
986,1
987,1
988,1
989,0
990,1
991,0
992,0
993,1
994,0
995,0
996,1
997,0
998,1
999,1
